,Country,Year,Export_Volume
728,Ecuador,2003,621.4529993
729,El Salvador,2003,1304.0299995
730,Equatorial Guinea,2003,0.0
731,Ethiopia,2003,2229.143
732,Gabon,2003,0.95
733,Ghana,2003,25.0281448
734,Guatemala,2003,3820.7999997
735,Guinea,2003,354.647
736,Guyana,2003,0.778369
737,Haiti,2003,37.0220001
738,Honduras,2003,2425.237
739,India,2003,3707.0660016
740,Indonesia,2003,4794.7200006
741,Jamaica,2003,24.5077825
742,Kenya,2003,919.569
743,Lao People's Democratic Republic,2003,232.65
744,Liberia,2003,6.604
745,Madagascar,2003,118.95
746,Malawi,2003,48.882
747,Mexico,2003,2595.5929985
748,Nepal,2003,1.8589988
749,Nicaragua,2003,1013.2369996
750,Nigeria,2003,8.9789998
751,Panama,2003,86.101
752,Papua New Guinea,2003,1147.1679996
753,Paraguay,2003,30.86829
754,Peru,2003,2503.025
755,Philippines,2003,12.3309998
756,Rwanda,2003,245.426
757,Sierra Leone,2003,33.9741004
758,Sri Lanka,2003,5.9761442
759,Tanzania,2003,882.6650006
760,Thailand,2003,180.6349993
761,Timor-Leste,2003,45.9073504
762,Togo,2003,71.558
763,Trinidad & Tobago,2003,1.7918055
764,Uganda,2003,2522.128
765,Venezuela,2003,259.9515279
766,Viet Nam,2003,11631.1110003
767,Yemen,2003,55.3268102
768,Zambia,2003,129.673
769,Zimbabwe,2003,97.4280001
770,Angola,2004,5.67
771,Bolivia (Plurinational State of),2004,93.278
772,Brazil,2004,26478.4750901
773,Burundi,2004,338.925
774,Cameroon,2004,734.325
775,Central African Republic,2004,63.92
776,Colombia,2004,10194.3150011
777,Congo,2004,0.0
778,Costa Rica,2004,1423.9400005
779,Côte d'Ivoire,2004,2572.7339994
780,Cuba,2004,24.838
781,Democratic Republic of Congo,2004,252.586
782,Dominican Republic,2004,45.5640004
783,Ecuador,2004,703.9210016
784,El Salvador,2004,1327.5330002
785,Equatorial Guinea,2004,0.0
786,Ethiopia,2004,2490.944
787,Gabon,2004,0.0
788,Ghana,2004,22.10685
789,Guatemala,2004,3309.5810002
790,Guinea,2004,296.202
791,Guyana,2004,0.6408565
792,Haiti,2004,32.0559998
793,Honduras,2004,2779.189
794,India,2004,3647.3365209
795,Indonesia,2004,5455.5989996
796,Jamaica,2004,29.1904905
797,Kenya,2004,753.598
798,Lao People's Democratic Republic,2004,267.06666
799,Liberia,2004,0.0
800,Madagascar,2004,127.034
801,Malawi,2004,25.737
802,Mexico,2004,2361.9313219
803,Nepal,2004,1.4566661
804,Nicaragua,2004,1311.3499996
805,Nigeria,2004,5.6191904
806,Panama,2004,99.145
807,Papua New Guinea,2004,1047.6650115
808,Paraguay,2004,17.2017367
809,Peru,2004,3184.062
810,Philippines,2004,28.8129993
811,Rwanda,2004,450.444
812,Sierra Leone,2004,22.9460001
813,Sri Lanka,2004,6.913303
814,Tanzania,2004,552.8320004
815,Thailand,2004,419.8139997
816,Timor-Leste,2004,22.4361888
817,Togo,2004,148.541
818,Trinidad & Tobago,2004,2.1864285
819,Uganda,2004,2627.011
820,Venezuela,2004,169.8346224
821,Viet Nam,2004,14858.9909998
822,Yemen,2004,44.6280631
823,Zambia,2004,103.755
824,Zimbabwe,2004,113.0079995
825,Angola,2005,4.665
826,Bolivia (Plurinational State of),2005,84.2137507
827,Brazil,2005,26198.0554467
828,Burundi,2005,371.441
829,Cameroon,2005,704.3954
830,Central African Republic,2005,46.5612127
831,Colombia,2005,10871.2469708
832,Congo,2005,0.0
833,Costa Rica,2005,1480.3359848
834,Côte d'Ivoire,2005,1753.849255
835,Cuba,2005,23.684
836,Democratic Republic of Congo,2005,157.53
837,Dominican Republic,2005,41.7670926
838,Ecuador,2005,993.4850211
839,El Salvador,2005,1279.8806251
