,Country,Region_Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
30,Azerbaijan,Asia & Oceania,0.0,0.0,2.0000004,2.0000004,4.3710005,0.7250017,1.3260014,0.7590013,0.1340001,1.5420008,1.1500015,1.9390023,1.4450008,2.1779981,9.9010005,19.46045,1.6261258,2.7114799,3.892293,4.0621008,6.3510467,8.4845217,12.4942637,12.3642303,10.7697521,13.3264084,16.2562934,19.4676193,31.4941926,34.679517
31,Bahrain,Asia & Oceania,7.2100068,8.2570025,10.5720084,7.7270021,4.7650063,6.1920013,5.1050023,5.0040015,6.8750008,5.6910066,5.86,6.8784697,5.8738673,7.4032613,10.6750872,12.3289575,12.7037009,15.5081521,12.8284999,9.1536517,9.5845184,12.0258288,8.6230562,15.3725627,31.2470537,21.7565016,20.921933,27.1193671,32.862696,55.9800637
32,Bangladesh,Asia & Oceania,0.0380006,0.1329994,0.2680013,1.3229994,0.572004,4.2860034,1.2790047,1.3359999,9.9989992,2.7449997,3.1139997,10.933316,4.1254826,5.9410129,6.594515,5.1120944,6.2250883,9.3461156,10.9306834,6.8264686,6.7364699,12.4821253,9.1833535,9.0907308,16.0470003,18.9310604,23.2039996,90.8987785,116.3739136,54.2803398
33,Brunei Darussalam,Asia & Oceania,8.4280024,10.1330113,7.9350091,10.5390118,8.6600081,16.0530087,20.0140021,29.0280045,19.5920108,12.2280061,18.1579979,14.4029984,21.8079968,24.2609965,20.8623355,21.1489646,25.775535,37.9814418,30.6011367,33.5738883,37.242622,45.9174937,46.6496492,47.0943336,45.8345253,59.1838417,57.4140309,44.5887843,61.9567153,51.809999
34,Cambodia,Asia & Oceania,0.0,0.0,0.433316,0.433316,6.800024,3.9,1.404,1.203316,0.989976,2.250024,1.4605527,0.757486,0.6871811,1.3312804,1.7155476,3.4321722,3.3969142,1.6555673,2.1994047,2.0287289,4.9886959,47.3170908,95.1522589,58.1938787,24.908017,23.5922185,35.9715704,98.4787663,117.7413235,67.8592986
35,"China, People's Republic of China (Mainland)",Asia & Oceania,27.5430032,46.0940072,69.0490083,34.1010057,15.0480004,34.026002,209.1500099,29.42001,83.8740096,83.2562008,94.7124108,162.2352467,198.7109745,242.2801522,253.9765506,286.5214895,357.4693854,365.7031157,400.8794382,419.4200298,572.5244994,808.673825,1087.9947077,931.5291735,1262.3356983,1188.3166999,1707.6402266,2145.9568149,1456.253396,1465.701557
36,"China, People's Republic of Hong Kong",Asia & Oceania,131.2319902,178.4679848,217.5199792,183.3039846,204.2909791,112.9849934,146.880992,167.2509903,141.8609944,150.0219875,140.7789918,124.9789952,104.8319936,105.9899968,127.7707582,120.983915,129.6185355,146.4205443,172.8174747,179.8122051,191.0141473,223.9419468,283.3185633,273.1833857,249.1806142,298.0732532,346.2415315,402.8850727,721.1819816,617.900105
37,"China, People's Republic of Macao",Asia & Oceania,29.6090076,24.4500011,16.4059996,9.9000064,9.9060045,7.0420094,9.3719989,8.146007,6.3339979,4.4979946,3.1309997,9.7739978,9.6480012,11.5839999,14.7929975,17.7655981,18.0764749,22.3825202,17.9676294,18.5842382,19.9692155,33.3793952,25.9737369,29.5421909,28.3742255,31.238155,33.3242577,36.5207166,48.4424693,40.3046225
38,Cook Islands,Asia & Oceania,0.0,0.0593292,0.0757412,0.0523278,0.008856,0.0224332,0.0159282,0.0074102,0.066594,0.0402982,0.0340762,0.0172401,0.05291,0.0540862,0.072848,0.1116872,0.1482796,0.1294947,0.4511622,0.0511658,0.1088063,0.0500318,0.0504778,0.6223163,0.5948117,1.1857203,0.556,2.0458136,0.7890393,0.7090721
39,Democratic People's Republic of Korea,Asia & Oceania,0.1420014,0.2880014,0.2340024,1.5468057,0.6350016,1.7610014,0.7859998,0.18,0.4259637,0.7958076,24.5699998,29.466999,26.7009989,7.9340009,26.5510002,20.4040001,9.0990002,25.8109763,2.9410068,4.2699969,15.6319988,20.3069936,7.0129944,15.3269996,44.3959997,46.8019999,19.7889998,26.741853,40.8387701,26.6828457
